Service,Category,Cost (RM),Selfpay (RM),Panel1 (RM),Panel2 (RM),Panel3 (RM),Panel4 (RM),Panel5 (RM)
REUSABLE HOT & COLD GEL PACK (SIZE S),service,0.00,15.00,20.00,5.00,0.00,9999.00,
RHEUMATOID ARTHRITIS (RA) FACTOR (PANTAI LAB - RF),investigation,0.00,22.00,29.00,15.00,0.00,9999.00,
RISK STRATIFICATION HIGH SENSITIVE CARDIAC TROP I,investigation,0.00,50.00,50.00,50.00,0.00,9999.00,
** RYLE'S TUBE INSERTION,procedure,0.00,80.00,85.00,40.00,0.00,50.00,
** RYLE'S TUBE REMOVAL,procedure,0.00,10.00,10.00,10.00,0.00,50.00,
S/C Mounjaro 2.5MG (1 Injection),procedure,0.00,275.00,9999.00,9999.00,9999.00,9999.00,
S/C Mounjaro 2.5MG (4 Injections),procedure,0.00,1000.00,9999.00,9999.00,9999.00,9999.00,
S/C Mounjaro 5MG (1 Injection),procedure,0.00,350.00,9999.00,9999.00,9999.00,9999.00,
S/C Mounjaro 5MG (4 Injections),procedure,0.00,1300.00,9999.00,9999.00,9999.00,9999.00,
SILICONE KNEE BRACE GUARD,service,0.00,60.00,60.00,20.00,19.90,9999.00,
** SIMPLE FB REMOVAL (EAR/NOSE/THROAT),procedure,0.00,50.00,55.00,20.00,0.00,50.00,
** SLE SCREENING  (LUPUS SCREENING) - (PANTAI LAB - LU04),investigation,0.00,190.00,200.00,127.00,0.00,320.00,
** SPECULUM EXAMINATION,procedure,0.00,25.00,25.00,25.00,0.00,25.00,
SPIROMETRY,investigation,0.00,35.00,35.00,18.00,0.00,9999.00,
** SPUTUM AFB PTB (PANTAI LAB - AFB),investigation,0.00,20.00,27.00,8.00,0.00,25.00,
SPUTUM CULTURE & SENSITIVITY (C&S) (PANTAI LAB - SPCS),investigation,0.00,70.00,75.00,34.00,0.00,9999.00,
STAPLER SUTURING,procedure,0.00,100.00,105.00,25.00,20.00,9999.00,
STD 1 (SYPHILIS+CHLAMYDIA+GONORRHEA) RAPID TEST IN CLINIC,investigation,0.00,100.00,105.00,25.00,0.00,9999.00,
STD 2 (SYPHILIS+CHLAMYDIA+GONORRHEA+HIV+HEP B&C+HSV) (PANTAI LAB - STD2),investigation,0.00,330.00,335.00,270.00,0.00,,
STD 2 (SYPHILIS+CHLAMYDIA+GONORRHEA+HIV+HEP B&C+HSV)  RAPID TEST IN CLINIC,investigation,0.00,250.00,255.00,60.00,0.00,9999.00,
STD PROFILE 12 (HSV+VDRL+CHLAMYDIA+HIV+HEP B&C) -(PANTAI LAB-ST12),investigation,0.00,222.00,230.00,162.00,0.00,,
STD PROFILE E (HSV+VDRL+CHLAMYDIA+HIV) (PANTAI LAB - ST05),investigation,0.00,275.00,280.00,127.00,0.00,9999.00,
STD TRIPLE H (HIV+ HEP B + HEP C) - (PANTAI LAB - 3HHH),investigation,0.00,105.00,112.00,52.00,0.00,9999.00,
STD TRIPLE H (HIV+ HEP B + HEP C) RAPID TEST IN CLINIC,investigation,0.00,120.00,125.00,20.00,0.00,9999.00,
** STERI-STRIP (PER STRIP),procedure,0.00,3.00,8.00,2.00,0.00,11.00,
** STOOL CULTURE & SENSITIVITY (C&S) - (PANTAI LAB - STCS),investigation,0.00,70.00,77.00,34.00,0.00,25.00,
STOOL FECAL OCCULT BLOOD RAPID TEST IN-CLINIC,investigation,0.00,45.00,50.00,7.00,0.00,9999.00,
** STOOL FOR OVA AND CYST (PANTAI LAB - STFEME),investigation,0.00,25.00,30.00,11.00,0.00,25.00,
